Date & Time (Local), Date & Time (UTC),  Box Temp,  O3 Concentration,  O3 Gen Lamp Temp,  O3 Gen Ref,  O3 Meas,  O3 Ref,  Photo Lamp Temp,  Ref 4096mV,  Ref Ground,  Sample Flow,  Sample Press,  Sample Temp,  Slope 1,  Stability
11/14/2022 12:39:00,11/14/2022 11:39:00, 30.5260219573975, 1.43258810043335, -----, -----, 3524.61279296875, 3524.56005859375, 58.0046730041504, 4095.87377929687, 0, 794.093078613281, 26.9050140380859, 36.0205535888672, 1.04713189601898, 0.137884110212326
11/14/2022 12:40:00,11/14/2022 11:40:00, 30.5881938934326, 1.62721729278564, -----, -----, 3525.8779296875, 3525.7724609375, 57.9999961853027, 4095.87377929687, 0, 795.70947265625, 26.9093132019043, 36.2184638977051, 1.04713189601898, 0.20339398086071
11/14/2022 12:41:00,11/14/2022 11:41:00, 30.6627254486084, 1.23918080329895, -----, -----, 3527.03759765625, 3526.98486328125, 58.0023384094238, 4095.92651367187, 0, 791.604248046875, 26.9164867401123, 36.40673828125, 1.04713189601898, 0.190463617444038
11/14/2022 12:42:00,11/14/2022 11:42:00, 30.7173252105713, 0.996989130973816, -----, -----, 3528.14453125, 3528.03930664062, 58.0035133361816, 4095.82104492187, 0, 789.1923828125, 26.9319038391113, 36.5831489562988, 1.04713189601898, 0.216039761900902
11/14/2022 12:43:00,11/14/2022 11:43:00, 30.768159866333, 0.949186503887177, -----, -----, 3529.40966796875, 3529.40966796875, 58.001163482666, 4095.87377929687, 0, 791.296508789062, 26.9014263153076, 36.7489242553711, 1.04713189601898, 0.238599136471748
11/14/2022 12:44:00,11/14/2022 11:44:00, 30.81276512146, 1.40918409824371, -----, -----, 3530.51684570312, 3530.56958007812, 58.0035133361816, 4095.82104492187, 0, 793.81103515625, 26.9007091522217, 36.9052619934082, 1.04713189601898, 0.223983138799667
11/14/2022 12:45:00,11/14/2022 11:45:00, 30.8598117828369, 1.09398972988129, -----, -----, 3531.62377929687, 3531.67651367187, 58.0023384094238, 4095.82104492187, 0, 793.015563964844, 26.8992786407471, 37.0613250732422, 1.04713189601898, 0.181863099336624
11/14/2022 12:46:00,11/14/2022 11:46:00, 30.9179592132568, 0.997933745384216, -----, -----, 3532.78344726562, 3532.83618164062, 58.0023384094238, 4095.87377929687, 0, 789.628479003906, 26.8960494995117, 37.2114448547363, 1.04713189601898, 0.185209587216377
11/14/2022 12:47:00,11/14/2022 11:47:00, 30.9525737762451, 1.16806101799011, -----, -----, 3533.57421875, 3533.732421875, 58.0023384094238, 4095.82104492187, 0, 792.296997070312, 26.877046585083, 37.3544998168945, 1.04713189601898, 0.177119329571724
11/14/2022 12:48:00,11/14/2022 11:48:00, 30.97975730896, 1.24041283130646, -----, -----, 3534.83935546875, 3534.89208984375, 58.001163482666, 4095.82104492187, 0, 792.0146484375, 26.9157695770264, 37.4893951416016, 1.04713189601898, 0.157393038272858
